,암호화요양기호,요양기관명,종별코드,종별코드명,시도코드,시도코드명,시군구코드,시군구코드명,읍면동,우편번호,주소,전화번호,병원홈페이지,개설일자,총의사수,의과일반의 인원수,의과인턴 인원수,의과레지던트 인원수,의과전문의 인원수,치과일반의 인원수,치과인턴 인원수,치과레지던트 인원수,치과전문의 인원수,한방일반의 인원수,한방인턴 인원수,한방레지던트 인원수,한방전문의 인원수,조산사 인원수,좌표(X),좌표(Y)
2,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQ0NjEwMDIjNjEjJDEjJDQjJDgz,강북삼성병원,1,상급종합,110000,서울,110016,종로구,,3181,"서울특별시 종로구 새문안로 29, (평동)",02-2001-2001,,19790324,415,1,39,123,244,4,0,0,4,0,0,0,0,0,126.96775,37.5684083
3,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQyNjE4MzIjNjEjJDEjJDQjJDgz,건국대학교병원,1,상급종합,110000,서울,110023,광진구,,5030,"서울특별시 광진구 능동로 120-1, (화양동)",1588-1533,,19821116,414,2,37,139,233,0,0,0,3,0,0,0,0,0,127.0718276,37.5403764
6,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjEyMjIjODEjJDEjJDIjJDgz,경희대학교병원,1,상급종합,110000,서울,110007,동대문구,,2447,"서울특별시 동대문구 경희대로 23, (회기동)",02-958-8114,,19711005,476,2,69,162,243,0,0,0,0,0,0,0,0,0,127.051852,37.5941195
16,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjE4MzIjODEjJDEjJDYjJDgz,서울대학교병원,1,상급종합,110000,서울,110016,종로구,,3080,"서울특별시 종로구 대학로 101, (연건동)",1588-5700,,19810709,1608,15,171,570,851,0,0,0,1,0,0,0,0,0,126.9990168,37.5797151
22,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQzNjE0ODEjNTEjJDEjJDYjJDgz,연세대학교의과대학 강남세브란스병원,1,상급종합,110000,서울,110001,강남구,,6273,"서울특별시 강남구 언주로 211, 강남세브란스병원 (도곡동)",02-2019-3114,,19830404,560,1,36,127,342,0,10,29,15,0,0,0,0,0,127.0462683,37.4929296
23,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjE0ODEjNjEjJDEjJDgjJDgz,연세대학교의과대학세브란스병원,1,상급종합,110000,서울,110010,서대문구,,3722,"서울특별시 서대문구 연세로 50-1, (신촌동)",02-2228-0114,,19740325,1477,6,147,419,904,1,0,0,0,0,0,0,0,0,126.9408265,37.5623446
27,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQyNjEwMDIjNjEjJDEjJDQjJDgz,이화여자대학교의과대학부속목동병원,1,상급종합,110000,서울,110020,양천구,,7985,"서울특별시 양천구 안양천로 1071, (목동)",02-2650-5114,,19930730,385,0,38,121,207,0,2,11,6,0,0,0,0,0,126.8862379,37.5362859
34,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEwMDIjNTEjJDEjJDIjJDgz,중앙대학교병원,1,상급종합,110000,서울,110008,동작구,,6973,"서울특별시 동작구 흑석로 102, (흑석동)",1800-1114,,20041201,401,0,43,134,211,6,0,0,7,0,0,0,0,0,126.9607839,37.5067481
38,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjEwMDIjNzEjJDEjJDgjJDgz,학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),1,상급종합,110000,서울,110012,성북구,,2841,"서울특별시 성북구 고려대로 73, 고려대병원 (안암동5가)",1577-0083,,19740325,568,2,38,164,339,0,4,12,9,0,0,0,0,0,127.0263537,37.5870165
40,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQyNjE4MzIjODEjJDEjJDIjJDgz,학교법인가톨릭학원가톨릭대학교서울성모병원,1,상급종합,110000,서울,110021,서초구,,6591,"서울특별시 서초구 반포대로 222, (반포동)",02-1588-1511,,19800502,893,3,58,232,568,0,5,15,12,0,0,0,0,0,127.0051154,37.5009444
